temporada,episodio,tercer_lugar,segundo_lugar,primer_lugar
1,1,"Me cortaron mal el pelo","Tangananica-Tanganana","Lala"
1,2,"Lala","Tangananica-Tanganana","Me cortaron mal el pelo"
1,3,"Me cortaron mal el pelo","Diente blanco, no te vayas","Tangananica-Tanganana"
1,4,"Tangananica-Tanganana","Diente blanco, no te vayas","Me cortaron mal el pelo"
1,5,"Lala","Tangananica-Tanganana","Diente blanco, no te vayas"
1,6,"Lala","Bailan sin cesar","Diente blanco, no te vayas"
1,7,"Diente blanco, no te vayas","Bailan sin cesar","Mi muñeca me habló"
1,8,"Tangananica-Tanganana","Mi muñeca me habló","Bailan sin cesar"
1,9,"Me cortaron mal el pelo","Tangananica-Tanganana","Bailan sin cesar"
1,10,"Señora, devuélvame la pelota o si no no sé lo que haré","Me cortaron mal el pelo","Bailan sin cesar"
1,11,"Yo opino","Mi muñeca me habló","Señora, devuélvame la pelota o si no no sé lo que haré"
1,12,"Lala","Señora, devuélvame la pelota o si no no sé lo que haré","Yo opino"
1,13,"Mi Equilibrio Espiritual","Yo opino","Señora, devuélvame la pelota o si no no sé lo que haré"
1,14,"Yo opino","Tangananica-Tanganana","Mi Equilibrio Espiritual"
1,15,"Diente blanco, no te vayas","Mi muñeca me habló","Mi Equilibrio Espiritual"
1,16,"Bailan sin cesar","Mi Equilibrio Espiritual","Mi muñeca me habló"
1,17,"Mi Equilibrio Espiritual","Señora, devuélvame la pelota o si no no sé lo que haré","Yo opino"
1,18,"Yo opino","Señora, devuélvame la pelota o si no no sé lo que haré","Lala"
2,1,"El Dinosaurio Anacleto","Rin Raja","Severlá"
2,2,"El Dinosaurio Anacleto","Severlá","Rin Raja"
2,3,"Severlá","Rin Raja","Boing, Boing, Boing"
2,4,"Sra. Interesante","El Dinosaurio Anacleto","Boing, Boing, Boing"
2,5,"Boing, Boing, Boing","Sra. Interesante","El Dinosaurio Anacleto"
2,6,"Severlá","Rin Raja","Sra. Interesante"
2,7,"Boing, Boing, Boing","Objeción Denegada","Severlá"
2,8,"Sra. Interesante","Objeción Denegada","Rin Raja"
2,9,"Nunca me he Sacado un 7","El Dinosaurio Anacleto","Objeción Denegada"
2,10,"Severlá","Nunca me he Sacado un 7","Sra. Interesante"
2,11,"Rin Raja","Boing, Boing, Boing","Nunca me he Sacado un 7"
2,12,"Doggy Style","Nunca me he Sacado un 7","Objeción Denegada"
2,13,"Sra. Interesante","Doggy Style","El Dinosaurio Anacleto"
2,14,"Rin Raja","Nunca me he Sacado un 7","Doggy Style"
2,15,"Boing, Boing, Boing","Objeción Denegada","Doggy Style"
2,16,"Boing, Boing, Boing","Papá, te Quiero","Nunca me he Sacado un 7"
2,17,"Nunca me he Sacado un 7","Doggy Style","Papá, te Quiero"
2,18,"Doggy Style","Sra. Interesante","Papá, te Quiero"
3,1,"Mi castillo de blanca arena con vista al mar","Ríe","Guácala"
3,2,"Ríe","Guácala","Mi castillo de blanca arena con vista al mar"
3,3,"La Regla Primordial","Guácala","Ríe"
3,4,"Ríe","Mi castillo de blanca arena con vista al mar","La Regla Primordial"
3,5,"La Regla Primordial","Guácala","Mi castillo de blanca arena con vista al mar"
3,6,"Parque de diversiones","La Regla Primordial","Guácala"
3,7,"Guácala","Mi castillo de blanca arena con vista al mar","Parque de diversiones"
3,8,"La Regla Primordial","Parque de diversiones","Mr. Guantecillo"
3,9,"Mr. Guantecillo","Ríe","Parque de diversiones"
3,10,"Guácala","Parque de diversiones","Mr. Guantecillo"
3,11,"Mr. Guantecillo","Parque de diversiones","Ratoncitos"
3,12,"Ratoncitos","Mr. Guantecillo","Parque de diversiones"
4,1,"El huerfadrino","Drácula, Calígula, Tarántula","Mi mamá me lo teje todo"
4,2,"Mi mamá me lo teje todo","El huerfadrino","Drácula, Calígula, Tarántula"
4,3,"El huerfadrino","Mi mamá me lo teje todo","Son pololos"
4,4,"Drácula, Calígula, Tarántula","Son pololos","El huerfadrino"
4,5,"Drácula, Calígula, Tarántula","Mundo Interior","El huerfadrino"
4,6,"Mi mamá me lo teje todo","Son pololos","Mundo Interior"
4,7,"Amurrao","Son pololos","Drácula, Calígula, Tarántula"
4,8,"Mundo Interior","Amurrao","Son pololos"
4,9,"El huerfadrino","Mundo Interior","Amurrao"
4,10,"Mundo Interior","Amurrao","Arwrarwrirwrarwro"
4,11,"Amurrao","Arwrarwrirwrarwro","El huerfadrino"
