iso,Night Changes,Drag Me Down,Perfect,History,Right Now,Steal My Girl,18,Story of My Life,Strong,Infinity,End of the Day,What Makes You Beautiful,Best Song Ever,Love You Goodbye,What a Feeling,Olivia,If I Could Fly,A.M.,Walking in the Wind,Where Do Broken Hearts Go,Never Enough,Temporary Fix,I Want to Write You a Song,Wolves,Hey Angel,Long Way Down,Stockholm Syndrome,No Control,Ready to Run,Fireproof,You & I,Home,Fool's Gold,Girl Almighty,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,Spaces,Act My Age,Clouds,One Way or Another (Teenage Kicks),Change Your Ticket,Little Things,Once in a Lifetime,Illusion,Kiss You,They Don't Know About Us,Happily,Midnight Memories,Diana,Live While We're Young,One Thing,Gotta Be You,More Than This,Perfect - Matoma Remix,Perfect - Stripped,Perfect - Matoma Remix2,Magic,Last First Kiss,Irresistible,Over Again,Truly Madly Deeply,Perfect - Matoma Remix3,Drag Me Down - Big Payno x AFTERHRS Remix,Up All Night,Don't Forget Where You Belong,Night Changes - Afterhrs Remix,Half a Heart,Steal My Girl - Acoustic Version
IDN,34,105,63,56,13,84,27,170,66,--,--,54,125,--,--,--,--,--,44,--,--,--,--,--,--,--,--,--,--,--,127,--,--,--,--,--,--,--,--,--,62,--,--,120,97,--,--,--,118,151,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
USA,19,2,5,28,--,8,54,7,--,23,24,27,23,35,31,32,36,42,60,50,34,47,50,52,53,61,57,76,65,71,40,127,72,66,125,98,100,93,--,101,102,118,120,94,111,45,44,47,107,135,--,--,--,166,--,--,--,--,--,--,--,--,--,--,--,--,--
IND,22,191,161,124,--,162,173,60,--,--,--,108,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,170,--,--,--,174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GBR,8,2,6,9,--,2,50,3,--,38,54,141,10,61,69,62,67,70,84,54,72,75,83,81,78,86,65,75,57,68,46,99,70,71,--,94,97,99,39,98,52,124,119,61,76,--,48,--,69,105,145,180,--,--,--,198,--,--,--,--,--,--,--,--,--,--,--
PHL,5,1,2,12,182,3,98,49,239,9,20,250,142,31,34,37,32,40,69,35,46,54,57,63,55,58,131,95,120,143,114,112,151,149,38,247,169,198,--,242,187,182,170,221,70,--,241,--,87,119,156,146,175,171,--,--,175,--,--,--,--,--,--,--,176,--,--
SWE,41,7,13,62,--,16,41,7,43,40,59,84,25,68,71,75,60,76,117,62,86,101,98,112,104,109,25,81,50,64,20,189,73,71,--,93,87,97,46,100,--,120,117,--,--,28,41,36,--,--,--,--,163,189,125,--,--,--,--,--,--,--,--,--,--,--,--
MEX,59,3,6,29,--,22,193,8,--,26,31,39,10,45,48,50,53,74,108,139,65,73,91,111,82,94,180,233,200,189,41,178,--,--,--,--,--,--,30,--,90,--,--,24,128,--,--,--,135,189,--,--,179,--,70,--,--,--,--,--,--,--,--,--,--,--,--
BRA,74,1,4,14,--,27,194,83,--,19,30,51,168,44,27,39,50,57,87,126,55,67,76,85,62,77,182,183,171,--,167,61,--,--,171,--,--,--,--,--,119,--,--,167,194,--,--,--,166,--,--,--,--,160,--,--,--,--,--,--,--,--,--,--,--,--,149
DEU,110,13,27,69,--,30,148,19,--,52,79,--,--,91,101,110,87,107,170,170,125,130,133,174,143,159,185,197,168,--,--,142,181,170,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
MYS,4,1,2,26,127,3,82,7,188,12,23,82,8,31,37,53,36,40,72,41,58,62,57,70,60,63,104,125,103,117,34,128,113,124,55,162,185,189,34,174,40,193,197,28,128,--,50,45,--,--,--,--,144,108,--,--,--,--,--,--,--,--,--,--,--,--,--
AUS,24,2,6,35,--,3,64,11,--,25,26,130,27,43,40,53,61,63,89,68,66,69,81,78,83,93,79,109,89,104,188,101,100,95,141,138,130,144,--,137,99,165,164,128,132,--,50,--,140,199,--,--,--,80,--,135,--,198,--,--,--,--,--,--,--,--,--
ITA,30,4,2,11,--,23,118,7,--,10,16,--,29,26,31,34,21,33,54,90,38,51,43,60,41,52,128,161,120,171,--,101,169,164,178,159,158,178,--,188,--,172,183,--,--,--,--,--,--,--,--,--,--,109,--,--,--,--,--,--,156,154,--,--,--,--,--
NLD,56,11,29,58,--,22,83,16,--,52,67,158,19,76,69,80,70,85,120,99,88,96,99,108,102,114,103,142,102,133,--,194,129,123,--,156,150,174,26,169,--,168,192,--,--,--,--,--,--,--,--,--,--,189,--,--,--,--,--,--,--,--,--,--,--,--,--
CAN,17,1,3,25,--,4,53,127,--,19,30,116,--,38,40,41,37,42,62,37,46,54,52,57,56,61,62,84,67,82,--,62,79,78,111,106,109,107,--,108,--,117,114,--,--,--,--,--,--,--,--,--,--,147,--,--,--,--,--,--,--,--,--,--,--,--,--
NOR,35,16,25,75,--,24,71,10,--,43,69,172,27,76,81,92,68,79,145,110,110,128,106,147,134,131,88,151,106,116,31,151,119,139,--,164,158,190,--,144,--,185,155,--,--,44,--,--,--,--,--,--,58,151,55,--,--,--,--,--,74,--,--,--,--,--,--
ESP,103,24,39,69,--,40,184,4,--,69,68,126,27,92,105,108,93,123,135,194,120,144,172,197,149,186,--,--,199,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
SGP,8,1,4,31,--,3,110,6,--,14,28,132,10,37,47,66,54,60,96,39,73,79,82,91,81,89,135,174,121,146,47,120,164,170,55,--,--,129,44,--,127,--,--,31,122,--,--,--,196,--,--,--,132,--,--,--,--,--,--,--,--,--,--,--,--,--,--
DNK,54,7,22,77,--,25,75,10,--,44,78,141,22,94,101,112,91,105,167,98,118,147,139,160,145,156,85,131,100,118,41,112,125,122,192,157,166,174,--,175,--,196,189,--,--,--,--,--,--,--,--,--,154,--,130,--,--,--,--,--,--,--,--,--,--,--,--
FIN,53,3,11,50,--,15,79,15,248,13,23,245,40,32,39,55,42,51,81,87,61,69,72,80,63,78,78,108,93,116,127,85,109,114,--,148,162,167,--,176,185,178,196,244,185,--,251,--,--,--,--,--,--,108,146,--,--,--,--,--,127,148,--,--,--,--,--
ARG,73,1,16,35,--,18,113,10,177,34,31,123,16,46,60,48,53,65,96,98,64,68,76,90,66,81,134,174,127,167,42,197,170,166,--,151,167,183,166,--,58,176,--,76,82,--,116,--,83,105,140,133,--,184,110,--,184,--,175,186,--,--,--,--,--,--,--
FRA,65,3,20,54,--,31,184,26,--,40,73,--,--,84,80,86,63,89,155,187,103,121,113,158,122,143,146,182,161,--,--,149,188,187,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
IRL,6,1,2,16,81,2,52,5,96,29,26,102,5,33,46,39,42,48,75,45,55,62,70,74,76,80,62,77,58,65,30,170,73,64,127,96,94,101,31,98,157,117,121,31,38,45,38,36,32,64,70,77,--,155,146,124,97,166,100,183,--,--,109,142,--,186,--
POL,50,1,1,6,--,18,149,20,--,11,10,154,200,20,14,23,11,28,44,105,26,30,33,49,37,41,146,189,167,170,273,74,171,153,126,--,197,--,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,185,--,--,--,--,--,--,100,116,--,--,154,--,--
NZL,18,3,11,23,--,3,74,5,47,44,42,176,23,58,56,69,72,74,106,79,77,83,95,91,97,110,95,127,93,117,--,187,108,111,155,150,148,163,48,159,172,181,178,--,--,--,42,45,--,--,--,--,--,150,--,--,--,--,--,--,--,--,--,--,--,--,--
PRT,54,1,1,7,--,17,66,9,--,6,14,72,44,17,18,21,10,24,46,69,30,34,37,48,32,36,87,106,89,113,35,65,95,102,166,118,141,143,--,151,117,128,158,148,129,--,--,--,152,--,--,--,--,174,--,--,--,--,--,--,95,87,--,--,--,--,--
BEL,40,2,9,35,--,15,136,13,--,28,33,196,25,51,59,57,38,63,90,108,60,74,75,91,77,82,166,167,152,157,--,175,159,154,122,--,--,--,16,--,--,--,--,48,--,--,--,--,--,--,--,--,--,162,--,--,--,--,--,--,--,--,--,--,--,--,--
CHL,127,5,12,54,--,53,149,10,--,50,53,52,163,78,95,94,102,121,190,190,117,128,159,193,135,172,--,226,188,--,194,--,--,--,--,--,--,--,--,--,102,--,--,145,148,--,--,--,147,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
COL,93,3,8,32,--,53,155,9,--,38,36,56,--,50,54,52,57,64,87,145,59,65,71,89,63,77,178,215,166,154,--,116,148,142,--,--,--,--,--,--,138,--,--,--,172,--,--,--,--,--,--,--,--,--,118,--,--,--,--,--,--,--,--,--,--,--,--
PER,58,1,2,9,--,22,125,15,--,22,23,52,200,30,31,29,39,51,61,118,41,47,57,60,50,59,127,140,138,147,--,127,151,141,--,179,198,139,--,--,130,187,--,172,155,--,--,--,188,--,--,--,--,--,83,--,--,--,--,--,--,--,--,--,--,--,--
TWN,13,2,5,79,--,5,--,10,--,36,81,--,19,94,127,122,159,188,--,61,131,--,--,--,--,--,--,--,--,--,176,94,--,--,55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,155,--,--,--,--,--,--,--,--,--,--,101,--,--
CHE,47,7,16,58,--,12,142,13,--,36,58,--,42,64,66,79,65,72,139,96,76,109,116,140,117,133,150,--,145,140,--,141,135,129,111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
HKG,9,2,2,38,--,4,156,6,--,17,36,--,13,49,62,75,67,79,189,43,90,137,164,185,145,158,191,--,176,--,32,159,--,--,54,--,--,--,47,--,--,--,--,39,--,50,40,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
TUR,43,2,9,42,--,22,--,26,--,32,48,--,40,68,47,53,70,65,158,109,74,108,134,170,106,155,--,--,--,--,--,97,--,--,90,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AUT,84,7,4,30,--,12,115,18,--,21,33,185,40,41,48,44,38,43,71,125,53,50,57,68,65,69,142,177,120,170,--,111,175,163,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,185,--,--,--,--,--,--,--,--,--,--,--,--,--
SAU,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CZE,19,1,3,23,--,7,111,9,--,16,21,152,--,24,30,31,23,33,69,65,35,47,51,73,49,56,127,158,118,156,--,178,163,155,53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
PAK,55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CRI,95,6,18,51,--,24,110,15,--,51,50,39,116,67,81,90,82,104,177,153,108,120,143,173,131,159,197,--,--,--,131,--,--,--,--,--,--,--,--,--,62,--,--,104,91,--,191,--,109,153,198,183,--,--,169,--,--,--,--,--,--,--,--,--,--,--,--
HUN,23,1,2,15,--,8,155,9,--,15,18,98,--,24,23,27,21,29,57,70,32,36,46,55,48,50,151,--,141,--,--,121,--,--,64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ECU,80,2,7,25,--,25,--,11,--,37,32,59,--,40,45,49,51,60,97,136,62,64,79,103,61,82,--,111,--,--,--,147,--,--,--,--,--,--,--,--,142,--,--,--,189,--,--,--,--,--,--,--,--,--,151,--,--,--,--,--,--,--,--,--,--,--,--
ARE,36,89,128,122,--,130,126,193,--,--,--,68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,99,--,--,--,129,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
GRC,17,1,1,4,--,9,106,13,--,4,8,--,--,12,9,17,3,11,30,67,20,16,29,25,21,26,120,155,116,157,--,59,145,153,68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
THA,144,--,63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
URY,69,1,2,26,--,12,101,33,--,16,19,39,110,41,54,42,46,53,81,84,57,60,71,78,61,77,112,141,104,132,117,159,142,134,--,178,199,--,--,--,78,--,--,109,97,--,158,--,111,155,--,--,191,--,--,--,--,--,--,--,--,--,--,--,--,--,--
DOM,38,2,9,40,--,12,112,13,--,26,31,72,--,45,57,51,54,63,98,86,67,81,82,100,77,91,127,159,119,135,--,--,144,150,--,200,--,--,--,--,123,--,--,187,161,--,--,--,192,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
